PuzzleId,FEN,Moves,Rating,Themes_backRankMate,Themes_capturingDefender,Themes_discoveredAttack,Themes_fork,Themes_pin,Themes_promotion,Themes_skewer,Themes_smotheredMate,Themes_trappedPiece,Themes_zugzwang
00AhO,r1b2rk1/2q2p1p/1p2pbp1/pP6/2P1Q3/P2B1N2/5PPP/3R1RK1 w - - 0 20,e4a8 c8b7 a8a7 f8a8 a7a8 b7a8,1281,False,False,False,False,False,False,False,False,True,False
00Kia,5r1k/4n1pp/1p6/pP5Q/P2pB2K/6P1/2P4P/4q3 b - - 4 37,g7g6 h5e5 h8g8 e4d5 e7d5 e5e1,1666,False,False,False,True,False,False,False,False,False,False
00YbG,8/7p/3k2p1/p5P1/P2K4/8/8/8 b - - 4 47,d6c6 d4c4 c6d6 c4b5,1787,False,False,False,False,False,False,False,False,False,True
01F1N,r4rk1/pp1q2pp/3p1p2/2p1nP2/5Q2/2P4P/PP1N1PP1/4RRK1 b - - 3 17,e5d3 f4c4 d6d5 c4d3,1177,False,False,False,True,False,False,False,False,False,False
01HAa,r1bq3r/1np1k1b1/pp1p3p/3Pp2B/2P1Pp1Q/2N5/PP1N2PP/R4RK1 b - - 5 19,e7d7 h4g4 d7e7 g4g7,1934,False,False,False,True,False,False,False,False,False,False
01Pko,5rk1/b4ppp/4P3/pp1N4/8/P2rP3/B5PP/2B2RK1 b - - 0 26,f7e6 d5e7 g8h8 f1f8,1208,True,False,False,False,False,False,False,False,False,False
01do1,5rk1/n2P3p/1p2p1pQ/pP3p2/q3p1N1/8/5PPP/5RK1 b - - 0 34,f5g4 h6f8 g8f8 d7d8q,1104,False,False,False,False,False,True,False,False,False,False
01qiV,8/5k1p/5Pp1/5pK1/7P/8/6P1/8 b - - 0 50,h7h6 g5h6 f7f6 g2g3 f6f7 h6h7,2270,False,False,False,False,False,False,False,False,False,True
01rGp,1r6/5pkp/6p1/8/8/8/1pR2PPP/rR4K1 w - - 2 39,c2b2 a1b1 b2b1 b8b1,864,True,False,False,False,False,False,False,False,False,False
02Int,r2qkbnr/pp1bnppp/3p4/1Np5/Q3P3/2PB4/PP3PPP/RNB1K2R b KQkq - 1 9,a7a6 b5d6,1183,False,False,False,False,False,False,False,True,False,False
03i7F,1r3rk1/QP1n1ppp/R7/8/2p5/3b1P2/1P1B1pPP/2K1qB1R w - - 12 27,d2e1 f2e1q,924,False,False,False,False,False,True,False,False,False,False
046t6,r1b2rk1/pppp1pp1/1bn4p/7n/2B1P2q/P1NP4/1PPBN1PP/R2Q1R1K w - - 5 13,e2f4 h5g3,1183,False,False,False,False,True,False,False,False,False,False
04E5q,r4R1k/p3q1pp/1p6/3pB3/3Pb3/2P3Q1/P5PP/5RK1 b - - 0 27,a8f8 g3g7 e7g7 f1f8,1743,False,False,False,False,True,False,False,False,False,False
04q9k,rnb2rk1/pp6/4p2p/3p4/3P4/PPqB2QP/5PP1/R4RK1 b - - 1 22,g8f7 d3g6 f7g7 g3c3,1819,False,False,True,False,False,False,False,False,False,False
05393,5r1k/p3q1b1/1p4Qp/2p1P3/2P5/1P3KP1/P7/2B4R w - - 1 34,f3g2 e7b7 g2g1 f8f1 g1f1 b7h1 f1e2 h1c1 e5e6 c1b2,1713,False,False,False,False,False,False,True,False,False,False
